"Comment","Designator","Footprint","LCSC Part #"
"1uF/16V","C2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28323"
"100pF","C4,C6,C8,C5,C7,C3,C9","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C14858"
"2.2uF/16V","C11,C21","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49217"
"0.33uF/16V","C18,C17,C16,C19,C20","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1740"
"0.1uF","C22,C13,C10,C14,C12,C1,C15","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C14663"
"GREEN","D1","LED_0805_2012Metric","C2297"
"RED","D2","LED_0805_2012Metric","C84256"
"WHITE","D3","LED_0805_2012Metric","C34499"
"BLUE","D4","LED_0805_2012Metric","C2293"
"Polyfuse","F2,F1","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C70057"
"0","R28,R32,R24,R33,R30,R34,R13,R4,R11,R7,R8,R19,R20,R21,R22,R15,R16,R17,R18,R14,R37,R38,R39,R40,R41,R36,R42,R59,R62,R60,R63,R61,R44,R45,R51,R47,R48","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C21189"
"10K","R43,R53","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C25804"
"4K7","R55,R56","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C23162"
"470K","R57,R58","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C23178"
"LM2776","U6","SOT-23-6_Handsoldering","C840110"
"SN74LVC2G14DBVR","U8","SOT-23-6_Handsoldering","C12401"
"MAX1721","U9","SOT-23-6_Handsoldering","C242523"
"LM2664","U10","SOT-23-6_Handsoldering","C840095"
