Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
FID2,Fiducial,Fiducial_1mm_Mask2mm,122.428000,-151.384000,0.000000,bottom
FID4,Fiducial,Fiducial_1mm_Mask2mm,56.388000,-150.876000,0.000000,bottom
FID6,Fiducial,Fiducial_1mm_Mask2mm,122.428000,-102.108000,0.000000,bottom
U1,MAX216,SOIC-18W_7.5x11.6mm_P1.27mm,83.121500,-123.888500,0.000000,bottom
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.694000,-115.316000,0.000000,top
C2,1uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,73.152000,-148.060500,270.000000,top
C3,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-138.684000,0.000000,top
C4,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-136.779000,180.000000,top
C5,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-134.874000,0.000000,top
C6,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-127.254000,180.000000,top
C7,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-131.064000,0.000000,top
C8,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-129.159000,180.000000,top
C9,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.372500,-132.969000,0.000000,top
C10,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.694000,-116.967000,0.000000,top
C11,2.2uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,66.040000,-148.865500,90.000000,top
C12,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.709500,-109.511000,90.000000,top
C13,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87.884000,-125.539500,270.000000,top
C14,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,89.344500,-128.460500,0.000000,top
C15,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,90.016500,-134.366000,0.000000,top
C16,0.33uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,85.894000,-109.982000,0.000000,top
C17,0.33uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,74.422000,-129.010500,270.000000,top
C18,0.33uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.408000,-131.550500,270.000000,top
C19,0.33uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.181500,-143.404500,270.000000,top
C20,0.33uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.267000,-147.193000,180.000000,top
C21,2.2uF/16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,67.077500,-145.034000,180.000000,top
D1,GREEN,LED_0805_2012Metric,71.120000,-103.124000,0.000000,top
D2,RED,LED_0805_2012Metric,96.441500,-123.444000,0.000000,top
D3,WHITE,LED_0805_2012Metric,81.534000,-108.127800,0.000000,top
D4,WHITE,LED_0805_2012Metric,81.534000,-106.121200,0.000000,top
F1,Polyfuse,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,101.337000,-140.716000,180.000000,top
F2,Polyfuse,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,111.760000,-114.300000,270.000000,top
FID1,Fiducial,Fiducial_1mm_Mask2mm,122.428000,-102.108000,0.000000,top
FID3,Fiducial,Fiducial_1mm_Mask2mm,122.428000,-151.384000,0.000000,top
FID5,Fiducial,Fiducial_1mm_Mask2mm,56.388000,-150.876000,0.000000,top
J7,Conn_01x08_Female,Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal,112.522000,-147.320000,90.000000,top
R1,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.310500,-118.554500,0.000000,top
R2,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,69.278500,-124.650500,0.000000,top
R3,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,69.278500,-130.746500,0.000000,top
R4,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.310500,-110.934500,0.000000,top
R5,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,80.645000,-103.505000,180.000000,top
R6,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,84.455000,-103.505000,180.000000,top
R7,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.310500,-115.506500,0.000000,top
R8,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.310500,-121.602500,0.000000,top
R9,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,69.278500,-126.174500,0.000000,top
R10,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.310500,-109.410500,0.000000,top
R11,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.310500,-113.982500,0.000000,top
R12,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.310500,-120.078500,0.000000,top
R13,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.310500,-107.886500,0.000000,top
R14,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,69.278500,-129.222500,0.000000,top
R15,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.310500,-112.458500,0.000000,top
R16,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.310500,-117.030500,0.000000,top
R17,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,69.278500,-123.126500,0.000000,top
R18,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,69.278500,-127.698500,0.000000,top
R19,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-111.760000,180.000000,top
R20,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-116.332000,180.000000,top
R21,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-122.428000,180.000000,top
R22,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-127.000000,180.000000,top
R23,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-108.712000,180.000000,top
R24,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-114.808000,180.000000,top
R25,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-120.904000,180.000000,top
R26,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-128.524000,180.000000,top
R27,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-133.096000,180.000000,top
R28,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-110.236000,180.000000,top
R29,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-117.856000,180.000000,top
R30,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-123.952000,180.000000,top
R31,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-130.048000,180.000000,top
R32,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-113.284000,180.000000,top
R33,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-119.380000,180.000000,top
R34,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-125.476000,180.000000,top
R35,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.443500,-131.572000,180.000000,top
R36,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.028000,-136.779000,180.000000,top
R37,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.028000,-134.874000,180.000000,top
R38,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.028000,-129.159000,180.000000,top
R39,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.028000,-127.254000,180.000000,top
R40,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.028000,-138.684000,180.000000,top
R41,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.028000,-132.969000,180.000000,top
R42,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.028000,-131.064000,180.000000,top
R43,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,75.795500,-103.124000,180.000000,top
R44,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,74.676000,-138.072500,90.000000,top
R45,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,73.723500,-132.334000,180.000000,top
R46,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,60.174500,-138.811000,0.000000,top
R47,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,58.333000,-137.033000,180.000000,top
R48,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,63.246000,-143.406500,90.000000,top
R49,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,68.072000,-141.882500,90.000000,top
R50,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,73.810500,-150.876000,180.000000,top
R51,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,69.596000,-150.876000,180.000000,top
R52,10K-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,75.842500,-104.902000,180.000000,top
R53,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,95.250000,-120.673500,90.000000,top
R54,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,64.643000,-102.108000,180.000000,top
R55,4K7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,77.978000,-108.204000,0.000000,top
R56,4K7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,77.978000,-106.426000,0.000000,top
U2,L79L05_SOT89,SOT-89-3,59.245500,-142.875000,90.000000,top
U3,SN75LBC771DW,SOP-20_7.5x12.8mm_P1.27mm,83.375500,-118.046500,180.000000,top
U4,SN75LBC776DBR,SSOP-20_5.3x7.2mm_P0.65mm,83.375500,-122.618500,270.000000,top
U5,LTC1323CSW,SOP-24_7.5x15.4mm_P1.27mm,81.851500,-136.652000,270.000000,top
U6,LM2776,SOT-23-6,69.596000,-148.082000,180.000000,top
